ID,Title,Author,Year_Published,Rating,Synopsis,Link
1,Anna Karenina,Leo Tolstoy,1878,4.10,"Anna Karenina has beauty, wealth, popularity and an adored son, but feels that her life is empty until she encounters the impetuous officer Count Vronsky. Their subsequent affair scandalizes society and family alike, and brings jealousy and bitterness in its wake.",https://a.co/d/9a975mr
2,Pride and Prejudice,Jane Austen,1813,4.29,"When Elizabeth Bennet meets bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever.",https://a.co/d/gccO19b
3,Jane Eyre,Charlotte Bronte,1847,4.15,"Having grown up an orphan in the home of her cruel aunt and at a harsh charity school, Jane Eyre becomes an independent and spirited survivor-qualities that serve her well as governess at Thornfield Hall. But when she finds love with her sardonic employer, Rochester, the discovery of his terrible secret forces her to make a choice.",https://a.co/d/0YwDEzA
4,A Tale of Two Cities,Charles Dickens,1859,3.87,"After eighteen years as a political prisoner in the Bastille, the aging Dr Manette is finally released and reunited with his daughter in England. There, two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette.",https://a.co/d/evuH3I9
5,Great Expectations,Charles Dickens,1861,3.80,"Pip is a young blacksmith's apprentice, who is one day accosted by an escaped convict, providing him with food and a file. Soon after, he is called upon by the mysterious and wealthy Miss Havisham to entertain her. He meets the beautiful but stubborn Estella at Miss Havisham's home and develops feelings toward her.",https://a.co/d/0sjfugs
6,Agnes Grey,Anne Bronte,1847,3.71,"Agnes, a strong governess, handles the difficulties of her position with grace in a society that is rigidly class divided. As she encounters aristocratic employers and societal outcasts, the story unfolds against a backdrop of Victorian moral dilemmas and romantic complexities.",https://a.co/d/gPX2GhC
7,Wurthering Heights,Emily Bronte,1847,3.90,"Lockwood, the new tenant of Thrushcross Grange, is forced to seek shelter one night at Wuthering Heights, the home of his landlord. There he discovers a tale of intense love between the gypsy foundling Heathcliff and Catherine Earnshaw. Catherine, forced to choose between Heathcliff and Edgar Linton, surrendered to the expectations of her class.",https://a.co/d/02jhsnY
8,Madame Bovary,Gustave Falubert,1856,3.71,"Emma Bovary, a bored provincial housewife, abandons her husband to pursue the libertine Rodolphe in a desperate love affair.",https://a.co/d/1NRAegf
9,Little Women,Louisa May Alcott,1868,4.16,"A heart-warming tale of love, sisterhood and hardship during the New England Civil War following three sisters, Meg, Beth, Jo and Amy, who try to support their mother at home while their father is away at war.",https://a.co/d/5xRwFyU
10,The Portrait of a Lady,Henry James,1881,3.80,"A young, independently minded woman from Albany, New York who unexpectedly comes into great wealth. The consequences of her choices trap her in increasingly conventional circumstances.",https://a.co/d/309jAi3
11,War and Peace,Leo Tolstoy,1869,4.16,"Set during Napoleon's invasion of Russia in 1812, the story follows three characters: Pierre Bezukhov, the illegitimate son of a count fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky who leaves behind his family to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman, who intrigues both men.",https://a.co/d/b2PaLPG
12,Persuasion,Jane Austen,1817,4.15,"Anne Elliot had been persuaded by her friend Lady Russell to break off her engagement to Frederick Wentworth, a handsome naval captain with neither fortune nor rank. At 27, Anne Elliot is no longer young and has few romantic prospects. Then, she meets him again.",https://a.co/d/65lp1Pq
13,Mansfield Park,Jane Austen,1814,3.86,"Fanny Price is sent by her overburdened family to live with her wealthy aunt and uncle, Sir Thomas and Lady Bertram, at the estate of Mansfield Park. As Fanny navigates the wealth, privilege, and amorality of the estate, she is forced to come to terms with thorny issues such as slavery, adultery, and conscience.",https://a.co/d/47G7zKn
14,North and South,Elizabeth Gaskell,1854,4.15,"When Margaret Hale moves to the industrial town of Milton, her whole world changes. As her sympathy for the town's mill workers grows, her sense of social injustice piques and she passionately fights their corner. However, just as she disputes the mill owner, John Thornton's treatment of his workers, she cannot deny her growing attraction to him.",https://a.co/d/56PE9LX
15,The Hunchback of Notre Dame,Victor Hugo,1831,4.02,"The grotesque hunchback Quasimodo, bell-ringer of Notre-Dame, owes his life to the austere archdeacon, Claude Frollo, who in turn is bound by a hopeless passion to the gypsy dancer Esmeralda. She, meanwhile, is bewitched by a handsome, empty-headed officer, but by an unthinking act of kindness wins Quasimodo's selfless devotion.",https://a.co/d/2SFPfCb
16,Sense and Sensibility,Jane Austen,1811,4.09,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her.",https://a.co/d/izyNNbf
17,Tess of the d'Urbervilles: A Pure Woman,Thomas Hardy,1891,3.84,"Tess Durbeyfield, the daughter of a poor and dissipated villager, learns that she may be descended from the ancient family of d'Urbeville. In her search for respectability her fortunes fluctuate wildly, and the story assumes the proportions of a Greek tragedy.",https://a.co/d/cDXYFMS
18,Belinda ,Maria Edgeworth,1801,3.66,"Belinda grows in moral maturity as she seeks to balance self-fulfilment with achieving material success. Among those whom she encounters are the socialite Lady Delacour, whose brilliance and wit hide a tragic secret, the radical feminist Harriot Freke, the handsome and wealthy Creole gentleman Mr Vincent, and the mercurial Clarence Hervey, whose misguided idealism has led him into a series of near-catastrophic mistakes.",https://a.co/d/514RgtH
19,The Tenant of Wildfell Hall,Anne Bronte,1848,4.02,"Gilbert Markham is deeply intrigued by Helen Graham, a beautiful and secretive young woman who has moved into nearby Wildfell Hall with her young son. He is quick to offer Helen his friendship, but when her reclusive behaviour becomes the subject of local gossip and speculation, Gilbert begins to wonder whether his trust in her has been misplaced.",https://a.co/d/hrE1nhU
20,Wives and Daughters,Elizabeth Gaskell,1866,4.13,"Molly Gibson's life is upended when her father, a country doctor, remarries. Her new stepmother, the former governess Hyacinth Clare Kirkpatrick, brings with her a glamorous daughter, Cynthia, whose charm and sophisticated worldliness contrast sharply with Molly's sincere nature. Her family relationships further strain when romantic entanglements ensue.",https://a.co/d/5Kf1JnP